country,region,region_code,start_date,end_date,days,year,week,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,zscore_total_deaths,normalized_total_deaths,month
Australia,Australia,0,2019-12-30,2020-01-05,7,2020,1,25921089,2926.0,0,2965.37289325805,-39.3728932580452,2926.0,0.0,-0.151895212651155,-0.0132775521579653,-0.2637212899475894,-0.26709104944823336,12
Australia,Australia,0,2020-01-06,2020-01-12,7,2020,2,25921089,2902.0,0,2956.53955992503,-54.5395599250273,2902.0,0.0,-0.210406128866836,-0.0184470929001921,-0.26600485940061375,-0.2716809534255849,1
Australia,Australia,0,2020-01-13,2020-01-19,7,2020,3,25921089,2914.0,0,2932.03955992503,-18.0395599250273,2914.0,0.0,-0.0695941436913677,-0.0061525636187157,-0.2648630746741016,-0.26938600143690916,1
Australia,Australia,0,2020-01-20,2020-01-26,7,2020,4,25921089,3007.0,0,2940.37289325836,66.6271067416396,3007.0,0.0,0.25703822374762,0.0226594072113784,-0.2560142430436323,-0.251600123524672,1
Australia,Australia,0,2020-01-27,2020-02-02,7,2020,5,25921089,2910.0,0,2900.03955992503,9.96044007497267,2910.0,0.0,0.0384260093199505,0.003434587656186,-0.26524366958293893,-0.27015098543313437,1
Australia,Australia,0,2020-02-03,2020-02-09,7,2020,6,25921089,2917.0,0,2931.70622659169,-14.7062265916934,2917.0,0.0,-0.0567346016662085,-0.0050162688397286,-0.2645776284924735,-0.2688122634397402,2
Australia,Australia,0,2020-02-10,2020-02-16,7,2020,7,25921089,3030.0,0,2936.37289325836,93.6271067416396,3030.0,0.0,0.361200514151391,0.0318852918703205,-0.2538258223178173,-0.24720146554637673,2
Australia,Australia,0,2020-02-17,2020-02-23,7,2020,8,25921089,3059.0,0,2989.03955992503,69.9604400749727,3059.0,0.0,0.269897765772776,0.0234056587985489,-0.25106650922874624,-0.24165533157374364,2
Australia,Australia,0,2020-02-24,2020-03-01,7,2020,9,25921089,3090.0,1,2952.64747191006,137.352528089944,3089.0,0.003857862607547,0.529887182170255,0.0465184311356637,-0.24811689868525647,-0.2357267056029979,2
Australia,Australia,0,2020-03-02,2020-03-08,7,2020,10,25921089,2996.0,2,2992.24747191006,3.75252808994446,2994.0,0.0077157252150941,0.0144767378019668,0.001254083469087,-0.2570608790429351,-0.25370382951429143,3
Australia,Australia,0,2020-03-09,2020-03-15,7,2020,11,25921089,2976.0,0,2928.04747191006,47.9525280899443,2976.0,0.0,0.184994265055547,0.0163769640178202,-0.25896385358712204,-0.2575287494954177,3
